"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"47","Zach Pascal","2023",28,2,4500000,2250000,1500000,1500000,1500000,"2023-2024 (FA: 2025)","WR",15,"PHI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0,0,-3.61139016505331,0,18,23,165,1,0,0,136,88,10,0.95393766410416,0,1.21323529411765,0.0512564575592455,0.0343776156110123,0.100949017266577,0,22.5,40.5
"48","A.J. Brown","2022",24,4,1e+08,2.5e+07,23234000,39999000,57220000,"2022-2026 (FA: 2027)","WR",14,"TEN",0,2,0,0,0,0,0,0,0,42,0,0,-1.25145834789146,0,0,NA,2,10,0,0,0,1,0.552041839924641,0,68,114,1011,6,0,0,1410,250,49,41.4908049675882,0,0.717021276595745,0.283858494252402,0.466749338956905,0.752512278648436,0,138.1,206.1
"49","Allen Robinson","2022",28,3,46500000,15500000,1.4e+07,30750000,30750000,"2022-2024 (FA: 2025)","WR",12,"CHI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,38,66,410,1,0,0,746,101,22,8.68141207246804,1,0.549597855227882,0.199644607767306,0.272991604149248,0.490561034555432,0,49,87
"50","Andre Roberts","2022",34,1,1750000,1750000,2e+05,9e+05,9e+05,"2022-2022 (FA: 2023)","WR",5,"LAC",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,3,19,0,0,0,0,0.760434927069582,0,1,2,35,0,0,0,29,16,1,-0.8368861800991,0,1.20689655172414,0.0714285714285714,0.115537848605578,0.188019351166761,1,11.4,12.4
"51","Brandin Cooks","2022",28,2,39764000,19882000,1.6e+07,3.6e+07,3.6e+07,"2022-2024 (FA: 2025)","WR",16,"HOU",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,21,0,0,0,1,0.830158571247011,0,90,134,1037,6,0,0,1423,344,45,24.5010573853863,0,0.728742094167252,0.272100655333803,0.399106933663286,0.687525836565005,0,141.8,231.8
"52","C.J. Board","2022",28,1,965000,965000,NA,NA,NA,"2022-2022 (FA: 2023)","WR",4,"NYG",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,6,0,0,0,0,0.333063101978041,0,4,6,51,0,0,0,102,13,3,-0.555520301219076,0,0.5,0.0553339053339053,0.113587463971096,0.162512082780625,0,5.7,9.7
"53","Cedrick Wilson","2022",26,3,22050000,7350000,3e+06,12750000,12750000,"2022-2023 (FA: 2024)","WR",15,"DAL",3,3,88,0,0,0,0,0,0,67,21,3,5.74903954978799,0,1.3134328358209,NA,2,11,0,0,0,1,1.97984083427582,0,50,71,664,6,2,0,739,281,28,29.4925187342523,1,0.89851150202977,0.124483922868402,0.155506836179429,0.295580669628203,0,109.02,159.02
"54","Chris Godwin","2022",26,3,6e+07,2e+07,18750000,4e+07,4e+07,"2022-2024 (FA: 2025)","WR",14,"TB",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,4,21,1,0,0,4,3.07182199432282,0,98,127,1103,5,2,2,931,586,55,36.0564867490855,0,1.18474758324382,0.211124113184727,0.195496862499382,0.453533973526658,0,144.4,242.4
"55","Christian Kirk","2022",25,4,7.2e+07,1.8e+07,2e+07,3.7e+07,3.7e+07,"2022-2025 (FA: 2026)","WR",18,"ARI",1,1,33,0,0,0,0,0,0,33,0,1,3.03057740646182,0,1,NA,1,11,0,0,0,1,0.651245707413182,0,83,114,1033,5,0,0,1326,253,45,49.1161703090978,0,0.779034690799397,0.191514503928244,0.288335199473606,0.489106395523891,0,135.72,218.72
"56","Cooper Kupp","2022",28,3,80100000,26700000,2e+07,3.5e+07,7.5e+07,"2022-2026 (FA: 2027)","WR",21,"LA",0,2,0,0,0,0,0,0,0,30,0,0,-1.91776989075403,0,0,NA,6,23,0,0,0,2,-0.242476156445623,0,178,233,2425,22,1,1,2017,1052,108,138.23279433496,1,1.20228061477442,0.322535084987672,0.328012668306913,0.713411495296347,0,376.8,554.8
"57","D.J. Moore","2022",24,3,61884000,20628000,19500000,41610000,41610000,"2022-2025 (FA: 2026)","WR",17,"CAR",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,8,48,0,0,0,4,7.40770576131763,0,93,163,1157,4,1,1,1730,426,60,8.43850797346094,1,0.66878612716763,0.284632516385812,0.419322907189239,0.720474809611185,0,144.5,237.5
"58","Davante Adams","2022",29,5,1.4e+08,2.8e+07,19250000,22750000,65670000,"2022-2026 (FA: 2027)","WR",17,"GB",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,132,180,1643,11,0,0,1732,634,89,77.3687194244343,0,0.948614318706697,0.322131191713455,0.384473078072034,0.752327942220607,0,230.3,362.3
"59","Deebo Samuel","2022",26,3,71550000,23850000,24035000,4.1e+07,58100000,"2022-2025 (FA: 2026)","WR",19,"SF",1,2,24,1,0,0,0,0,0,39,0,1,2.01773363578832,0,0.615384615384615,NA,86,502,9,0,0,25,18.7080897080667,0,87,135,1559,7,4,2,1061,934,58,65.5754662870133,0,1.4693685202639,0.251392462585457,0.254466168981015,0.555215012164896,0,303.06,390.06
"60","Diontae Johnson","2022",26,2,36710000,18355000,17500000,1.9e+07,2.7e+07,"2022-2024 (FA: 2025)","WR",17,"PIT",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,5,53,0,0,0,2,3.93995102384361,0,112,179,1195,9,2,2,1542,537,63,24.4319540527775,1,0.77496757457847,0.275914560919128,0.334944609655406,0.648333068137476,0,176.8,288.8
"61","Gunner Olszewski","2022",25,2,4200000,2100000,1235000,1235000,1235000,"2022-2023 (FA: 2024)","WR",4,"NE",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,9,0,0,0,0,0.765960428863764,0,2,3,31,0,0,0,29,14,2,1.6776933936053,0,1.06896551724138,0.026010101010101,0.0264882535139846,0.0575569289749407,0,4,6
"62","Hunter Renfrow","2022",26,2,32329000,16164500,9180000,14500000,2.1e+07,"2022-2024 (FA: 2025)","WR",18,"LV",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,3,3,0,0,0,0,-1.60257622005884,0,111,139,1096,9,1,1,899,487,52,49.6466570825244,0,1.21913236929922,0.21126860163682,0.172012275861787,0.437311495558482,0,161.9,272.9
"63","Jake Kumerow","2022",30,1,1187500,1187500,76250,76250,76250,"2022-2022 (FA: 2023)","WR",4,"BUF",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,6,28,0,0,0,86,7,2,-0.4224363178364,0,0.325581395348837,0.0371736612313998,0.0664101280957838,0.102247581514148,0,2.8,4.8
